Epochs,data__preprocessed__densenet201-imagenet__time,data__preprocessed__densenet201-imagenet__train_loss,data__preprocessed__densenet201-imagenet__train_accuracy,data__preprocessed__densenet201-imagenet__val_loss,data__preprocessed__densenet201-imagenet__val_accuracy,data__preprocessed__densenet201__time,data__preprocessed__densenet201__train_loss,data__preprocessed__densenet201__train_accuracy,data__preprocessed__densenet201__val_loss,data__preprocessed__densenet201__val_accuracy,data__preprocessed__inception-v3__time,data__preprocessed__inception-v3__train_loss,data__preprocessed__inception-v3__train_accuracy,data__preprocessed__inception-v3__val_loss,data__preprocessed__inception-v3__val_accuracy,data__preprocessed__mario__time,data__preprocessed__mario__train_loss,data__preprocessed__mario__train_accuracy,data__preprocessed__mario__val_loss,data__preprocessed__mario__val_accuracy,data__preprocessed__resnet50__time,data__preprocessed__resnet50__train_loss,data__preprocessed__resnet50__train_accuracy,data__preprocessed__resnet50__val_loss,data__preprocessed__resnet50__val_accuracy,data__preprocessed__xception__time,data__preprocessed__xception__train_loss,data__preprocessed__xception__train_accuracy,data__preprocessed__xception__val_loss,data__preprocessed__xception__val_accuracy,data__raw__densenet201-imagenet__time,data__raw__densenet201-imagenet__train_loss,data__raw__densenet201-imagenet__train_accuracy,data__raw__densenet201-imagenet__val_loss,data__raw__densenet201-imagenet__val_accuracy,,data__raw__densenet201__time,data__raw__densenet201__train_loss,data__raw__densenet201__train_accuracy,data__raw__densenet201__val_loss,data__raw__densenet201__val_accuracy,data__raw__inception-v3__time,data__raw__inception-v3__train_loss,data__raw__inception-v3__train_accuracy,data__raw__inception-v3__val_loss,data__raw__inception-v3__val_accuracy,data__raw__mario__time,data__raw__mario__train_loss,data__raw__mario__train_accuracy,data__raw__mario__val_loss,data__raw__mario__val_accuracy,data__raw__resnet50__time,data__raw__resnet50__train_loss,data__raw__resnet50__train_accuracy,data__raw__resnet50__val_loss,data__raw__resnet50__val_accuracy,data__raw__xception__time,data__raw__xception__train_loss,data__raw__xception__train_accuracy,data__raw__xception__val_loss,data__raw__xception__val_accuracy
42,107s,0.6924,0.7419,1.212,0.6386,116s,0.0473,0.9831,1.4436,0.7265,103s,0.327,0.8848,1.0178,0.6943,105s,0.1591,0.9488,1.4373,0.7011,112s,0.2638,0.9229,2.786,0.5316,110s,0.0313,0.99,1.4703,0.6962,137s,0.9403,0.6511,1.6164,0.523,,157s,0.0572,0.9808,1.7213,0.6787,135s,1.7977,0.2917,2.5917,0.2599,137s,0.1093,0.9628,2.3087,0.585,149s,0.0586,0.9809,2.4491,0.5825,150s,0.0669,0.9774,3.1466,0.6179
43,108s,0.7066,0.7332,1.263,0.6405,115s,0.04,0.9862,1.7066,0.7147,104s,0.353,0.8756,0.966,0.6993,104s,0.1636,0.9491,1.5598,0.7116,112s,0.033,0.991,1.7106,0.6838,110s,0.0375,0.9879,1.3927,0.7389,138s,0.928,0.6562,1.4655,0.5589,,157s,0.0504,0.982,2.1155,0.6141,136s,1.7843,0.2954,22.1766,0.2196,139s,0.1081,0.9658,2.1163,0.5651,149s,0.0562,0.9803,2.4559,0.5639,149s,0.04,0.986,2.0825,0.6185
44,107s,0.7102,0.7329,1.319,0.6151,115s,0.0374,0.9868,1.4936,0.7259,103s,0.2746,0.9018,0.9124,0.7364,106s,0.1403,0.9556,1.6735,0.7092,113s,0.0271,0.9907,1.8956,0.6696,109s,0.0406,0.9856,1.4355,0.7562,137s,0.9133,0.6596,1.4035,0.5782,,158s,0.0482,0.9839,1.9542,0.6619,138s,1.7825,0.3038,1.7241,0.3021,140s,0.1089,0.965,2.5862,0.5769,149s,0.0585,0.9806,2.4199,0.5782,150s,0.037,0.9879,2.196,0.6247
45,107s,0.7017,0.7381,1.3234,0.6293,116s,0.0447,0.9839,1.7294,0.6986,103s,0.2411,0.9153,1.7931,0.586,104s,0.1347,0.9568,2.0328,0.703,111s,0.0815,0.9741,2.3659,0.6139,112s,0.0483,0.9848,1.2325,0.7574,140s,0.9342,0.6488,1.5305,0.5583,,157s,0.0557,0.981,2.3007,0.6433,138s,1.7746,0.3028,1.7065,0.2885,141s,0.1161,0.9648,2.3088,0.5751,149s,0.028,0.9914,2.7769,0.5341,150s,0.0393,0.9871,1.8503,0.6501
46,106s,0.6988,0.7353,1.2735,0.6312,115s,0.0427,0.9867,2.2304,0.6473,109s,0.2746,0.9017,0.8866,0.7376,104s,0.1409,0.956,3.0048,0.6355,111s,0.0666,0.9771,1.7333,0.6819,111s,0.0268,0.9914,1.8363,0.6021,139s,0.9193,0.6585,1.5259,0.5471,,157s,0.0428,0.9845,1.8518,0.6923,138s,1.777,0.3058,2.4534,0.2866,139s,0.0984,0.9675,2.5027,0.5627,149s,0.0664,0.9772,2.4643,0.5633,150s,0.059,0.9812,1.9911,0.6086
47,106s,0.7006,0.7325,1.2717,0.6182,116s,0.0302,0.99,1.7051,0.6931,103s,0.1872,0.9333,1.1608,0.7203,103s,0.1419,0.9534,2.2328,0.7005,110s,0.0473,0.9852,2.3373,0.6386,111s,0.0913,0.9725,1.1108,0.7562,139s,0.9215,0.6514,1.456,0.5589,,158s,0.0439,0.9854,2.173,0.6272,136s,1.7627,0.3073,3.3835,0.3033,138s,0.1108,0.9658,2.1794,0.5887,148s,0.0449,0.9843,2.371,0.603,150s,0.0514,0.982,1.9013,0.67
48,107s,0.693,0.7345,1.201,0.6535,115s,0.0396,0.9863,2.9167,0.6405,102s,0.167,0.9407,1.3986,0.6832,104s,0.1406,0.9572,1.9112,0.7054,110s,0.0626,0.9807,2.897,0.6021,110s,0.0242,0.9914,1.7147,0.6856,137s,0.9073,0.6574,1.4357,0.5658,,156s,0.0505,0.9837,1.8313,0.6793,135s,1.7722,0.3011,2.0591,0.3133,138s,0.0932,0.9721,2.428,0.5819,148s,0.037,0.9881,2.547,0.5422,147s,0.0262,0.9908,2.243,0.6489
49,106s,0.6852,0.7387,1.2308,0.6566,115s,0.0299,0.9896,2.9779,0.6269,102s,0.162,0.9434,1.0281,0.7327,104s,0.1505,0.9531,1.7064,0.7184,110s,0.0316,0.9893,1.996,0.6887,111s,0.0231,0.9924,2.5715,0.5396,138s,0.92,0.6567,1.5639,0.5484,,157s,0.0251,0.9927,1.8858,0.6805,135s,1.7691,0.3042,2.2004,0.3164,137s,0.0984,0.9694,2.1393,0.5949,148s,0.1347,0.9586,2.8766,0.4913,148s,0.0332,0.9897,2.102,0.6538
50,107s,0.6887,0.7372,1.3021,0.6318,115s,0.0257,0.9909,1.4396,0.7389,102s,0.1416,0.9492,1.2023,0.6937,106s,0.1239,0.9623,1.6849,0.6869,110s,0.04,0.987,1.8622,0.6856,110s,0.06,0.9814,1.4225,0.7587,138s,0.9298,0.6585,1.6039,0.5571,,158s,0.0302,0.99,1.9081,0.6718,137s,1.743,0.3183,2.3901,0.3195,138s,0.0978,0.9699,2.7285,0.5738,147s,0.1051,0.964,2.1521,0.5868,147s,0.0258,0.9908,2.4615,0.6526
51,107s,0.6958,0.7383,1.3045,0.6231,114s,0.0591,0.9805,3.1239,0.6077,102s,0.1807,0.9406,1.3997,0.7215,106s,0.1345,0.9567,1.6681,0.7129,110s,0.0553,0.9816,2.0751,0.6572,111s,0.0267,0.9919,1.4207,0.7475,137s,0.9197,0.6563,1.4625,0.5571,,156s,0.0736,0.9736,2.1217,0.6687,137s,1.732,0.3168,2.1632,0.3251,139s,0.079,0.9732,2.397,0.5868,146s,0.0064,0.9991,2.1188,0.6129,147s,0.0314,0.9884,2.0744,0.6613
52,107s,0.6863,0.743,1.232,0.6411,113s,0.0423,0.9849,2.522,0.6219,105s,0.1583,0.9443,1.2822,0.7129,106s,0.1264,0.9593,1.6981,0.7085,111s,0.0405,0.9861,2.0374,0.6269,111s,0.0208,0.9928,1.4947,0.7494,137s,0.918,0.6538,1.4255,0.5732,,158s,0.033,0.9887,1.8369,0.6917,137s,1.7237,0.3208,1.6941,0.3207,139s,0.0955,0.9695,2.5598,0.5837,146s,0.0014,0.9998,2.1734,0.6179,147s,0.0385,0.9867,2.4446,0.6024
53,106s,0.6896,0.7342,1.2568,0.6417,114s,0.0231,0.9927,1.673,0.7302,104s,0.6293,0.7865,1.3988,0.6547,104s,0.1355,0.9599,1.5904,0.7017,110s,0.0381,0.987,1.4807,0.716,111s,0.0227,0.9924,1.6738,0.7376,136s,0.9144,0.6605,1.5134,0.5614,,157s,0.0425,0.9847,1.8869,0.6799,137s,1.7225,0.3179,2.4949,0.3182,139s,0.0924,0.9709,2.1435,0.5986,145s,5.48E-04,0.9999,2.2409,0.6228,147s,0.0578,0.9796,2.3163,0.6408
54,106s,0.6971,0.7376,1.2412,0.6559,112s,0.0257,0.9917,2.572,0.659,104s,0.2251,0.9228,0.806,0.7624,103s,0.1103,0.966,1.6102,0.6807,109s,0.0371,0.988,1.6419,0.711,111s,0.0255,0.9918,1.5553,0.742,137s,0.9047,0.6622,1.453,0.5769,,157s,0.0296,0.9897,2.6547,0.6377,137s,1.7037,0.3162,1.7292,0.34,141s,0.0687,0.9776,2.1841,0.5893,146s,4.22E-04,0.9999,2.2966,0.621,148s,0.0711,0.9793,1.7821,0.647
55,107s,0.7033,0.7361,1.2385,0.6559,113s,0.0325,0.9888,1.8655,0.7147,104s,0.1099,0.9616,1.3253,0.7141,102s,0.1186,0.9637,1.9971,0.6436,108s,0.0376,0.9881,1.5368,0.7178,110s,0.0315,0.99,1.4178,0.737,136s,0.9206,0.6508,1.4641,0.5794,,158s,0.062,0.9787,1.7051,0.6824,136s,1.7102,0.3213,2.2278,0.3176,140s,0.072,0.9774,2.7436,0.5924,147s,3.15E-04,0.9999,2.3423,0.6191,147s,0.0327,0.9897,2.0664,0.6545
56,106s,0.7028,0.7339,1.2773,0.6262,113s,0.0339,0.9883,1.1655,0.7636,104s,0.0788,0.9725,1.2478,0.7308,104s,0.1279,0.9611,1.4311,0.7036,109s,0.044,0.9853,2.1757,0.63,110s,0.0491,0.9844,1.4541,0.7438,136s,0.9073,0.6584,1.6448,0.5366,,158s,0.0255,0.9925,2.0894,0.6731,135s,1.7202,0.3244,1.9373,0.3127,140s,0.0856,0.9726,2.6205,0.5689,147s,2.96E-04,0.9998,2.3835,0.6203,150s,0.0181,0.994,2.5046,0.6284
57,107s,0.6843,0.7389,1.2567,0.6374,113s,0.0262,0.9907,1.7055,0.7283,103s,0.0862,0.9694,1.1955,0.7296,104s,0.1246,0.9615,1.9551,0.6931,109s,0.0343,0.9881,1.9416,0.6751,111s,0.0424,0.9862,1.301,0.7611,137s,0.9098,0.6578,1.5221,0.5633,,157s,0.0282,0.9908,2.2764,0.6712,135s,1.6987,0.325,2.0186,0.3226,142s,0.0813,0.9753,2.5623,0.5794,147s,2.72E-04,0.9998,2.4451,0.6185,148s,0.0284,0.9904,2.346,0.6458
58,106s,0.6822,0.7419,1.2684,0.6405,113s,0.0294,0.9901,1.5581,0.7389,104s,0.0699,0.9764,1.2154,0.7481,104s,0.1066,0.9662,1.5597,0.7166,110s,0.0298,0.9899,4.2789,0.466,110s,0.0313,0.9897,1.3091,0.7506,136s,0.9247,0.6502,1.4764,0.5651,,155s,0.0592,0.9803,1.734,0.7047,135s,1.6922,0.3246,1.6572,0.3344,141s,0.0785,0.9769,2.2982,0.5744,147s,2.69E-04,0.9999,2.4651,0.6216,148s,0.0249,0.9914,2.0613,0.6681
59,106s,0.705,0.7369,1.322,0.6405,113s,0.0289,0.9909,1.9477,0.7011,104s,0.0736,0.9755,1.3924,0.7222,105s,0.1233,0.962,1.8108,0.7073,110s,0.0708,0.9771,3.826,0.4851,112s,0.0168,0.9948,1.3028,0.763,138s,0.9294,0.6543,1.4859,0.5527,,154s,0.0226,0.9925,1.8677,0.6973,136s,1.6877,0.3228,2.4336,0.3282,142s,0.0758,0.977,2.4492,0.5713,147s,2.26E-04,0.9999,2.4958,0.6197,150s,0.024,0.9918,2.6061,0.5881
60,107s,0.6902,0.7436,1.3137,0.6355,114s,0.0351,0.988,2.1688,0.6838,104s,0.0817,0.9708,1.6692,0.6708,105s,0.1064,0.9679,1.4272,0.7092,110s,0.1337,0.9571,1.3638,0.7166,111s,0.0177,0.9947,1.6258,0.7351,138s,0.9037,0.66,1.5731,0.5329,,155s,0.0323,0.9887,1.7197,0.6935,135s,1.7097,0.3225,6.5077,0.3213,140s,0.0718,0.978,2.2266,0.5825,148s,2.19E-04,0.9999,2.5363,0.621,148s,0.026,0.9909,3.5564,0.611
61,106s,0.6855,0.7426,1.4025,0.6269,115s,0.0188,0.9941,1.766,0.7624,104s,0.0927,0.9683,1.2102,0.7308,106s,0.1138,0.9645,1.645,0.7166,109s,0.0079,0.9985,1.4005,0.7395,113s,0.0183,0.9945,1.6852,0.7259,138s,0.9252,0.655,1.4812,0.562,,156s,0.0468,0.985,2.0966,0.6687,135s,1.685,0.324,1.7758,0.3108,140s,0.0747,0.9771,2.5611,0.5955,148s,0.1421,0.9618,161.5868,0.1756,147s,0.0346,0.9887,2.5321,0.6266
62,106s,0.6902,0.7386,1.3021,0.6361,113s,0.0678,0.9785,1.3712,0.7351,105s,0.0748,0.9738,1.4296,0.6708,105s,0.1178,0.964,1.9037,0.7351,109s,0.0039,0.9991,1.598,0.7358,112s,0.0291,0.99,1.3535,0.7376,140s,0.8961,0.6632,1.498,0.5751,,157s,0.0222,0.9919,1.5523,0.7066,136s,1.6878,0.3196,1.7993,0.2947,139s,0.0711,0.978,2.2473,0.572,149s,0.3003,0.8968,2.3414,0.5453,146s,0.0315,0.9888,2.2897,0.6179
63,107s,0.6955,0.7383,1.3009,0.6337,113s,0.033,0.9886,1.2836,0.7717,104s,0.0645,0.9784,1.3625,0.7228,105s,0.1011,0.9689,1.7982,0.7382,108s,0.0061,0.9976,2.1759,0.6795,112s,0.0219,0.9934,1.7851,0.6993,138s,0.9187,0.6565,1.5056,0.5583,,157s,0.0552,0.9826,2.2503,0.6278,136s,1.6786,0.3176,1.6493,0.3387,140s,0.0775,0.9748,2.8306,0.5806,146s,0.0237,0.9942,2.1381,0.5912,146s,0.04,0.9879,2.6531,0.5862
64,106s,0.6691,0.7467,1.2863,0.633,114s,0.0223,0.9924,1.2534,0.7859,105s,0.062,0.9792,1.3739,0.7283,104s,0.1037,0.9687,1.6078,0.7092,111s,0.0513,0.9829,1.7182,0.7067,111s,0.0288,0.9911,1.2251,0.7494,136s,0.91,0.6565,1.4461,0.5862,,155s,0.0202,0.9937,2.4647,0.6427,135s,1.6764,0.3293,1.7779,0.3282,140s,0.0702,0.9787,2.2959,0.5924,146s,0.0074,0.9978,2.3485,0.6061,148s,0.0373,0.9879,1.9361,0.6638
65,106s,0.6984,0.7356,1.3264,0.6194,114s,0.0072,0.9979,1.2219,0.758,107s,0.0735,0.9741,1.1139,0.7611,105s,0.0965,0.9706,1.7666,0.7048,110s,0.0424,0.9857,1.8137,0.698,110s,0.0245,0.9917,1.4405,0.7661,136s,0.9241,0.6547,1.5342,0.5471,,163s,0.0249,0.9917,2.7615,0.639,136s,1.6634,0.3333,1.687,0.3251,139s,0.0655,0.9795,2.398,0.5868,147s,0.0022,0.9995,2.3273,0.616,148s,0.0404,0.9873,2.219,0.647
66,106s,0.68,0.7347,1.289,0.6504,115s,0.035,0.9882,1.7015,0.6621,104s,0.0729,0.9746,1.4193,0.7321,104s,0.106,0.9689,1.4171,0.7314,109s,0.0225,0.9931,1.8092,0.6974,109s,0.0217,0.9927,1.9313,0.7358,137s,0.9111,0.6578,1.6309,0.5552,,173s,0.0286,0.9909,2.0838,0.6811,136s,1.6609,0.3278,1.9654,0.3127,139s,0.0759,0.9769,2.383,0.5831,145s,0.0539,0.9826,3.2289,0.5074,147s,0.0241,0.9919,2.9453,0.5962
67,105s,0.6794,0.7438,1.313,0.6467,115s,0.0348,0.9883,1.937,0.716,102s,0.0593,0.9809,1.2449,0.724,106s,0.0949,0.9699,1.804,0.7172,109s,0.0102,0.9964,2.1372,0.6813,111s,0.0281,0.9905,1.6216,0.6986,140s,0.9142,0.6579,1.5901,0.5502,,172s,0.0584,0.981,2.965,0.5744,135s,1.6589,0.3286,3.2083,0.2916,139s,0.0737,0.9784,2.3064,0.5633,150s,0.0856,0.9698,2.2078,0.5986,148s,0.0387,0.9876,2.2436,0.6297
68,106s,0.6683,0.7426,1.3437,0.6392,115s,0.0181,0.9933,1.4298,0.7537,103s,0.0606,0.9799,2.2821,0.6163,107s,0.1046,0.9689,1.7187,0.7172,109s,0.0604,0.9812,1.5305,0.7234,109s,0.0207,0.9927,1.8299,0.7178,141s,0.9151,0.6555,1.5807,0.5341,,167s,0.0291,0.9902,1.953,0.6861,136s,1.6668,0.3246,1.6413,0.3182,140s,0.0741,0.9783,2.4578,0.5962,149s,0.0291,0.9903,2.7417,0.5366,148s,0.0344,0.9891,2.0372,0.6427
69,108s,0.6797,0.7459,1.3564,0.62,115s,0.0127,0.9954,5.8582,0.4833,103s,0.0583,0.9802,1.5173,0.7024,107s,0.1009,0.9688,1.6458,0.6881,109s,0.0234,0.9925,1.7429,0.7283,111s,0.0237,0.9922,1.7368,0.7197,143s,0.8938,0.662,1.5037,0.5533,,171s,0.0232,0.9926,1.9038,0.6911,136s,1.6634,0.3261,1.8112,0.3362,141s,0.0642,0.9806,3.0467,0.5751,145s,0.0251,0.9914,2.8484,0.5391,147s,0.0225,0.9925,2.1881,0.6445
70,107s,0.6869,0.7393,1.3153,0.6411,113s,0.0407,0.9881,30.015,0.3323,105s,0.0568,0.9819,1.3633,0.7234,108s,0.0845,0.9746,1.8852,0.7178,109s,0.0602,0.9802,1.9813,0.6368,110s,0.0271,0.9914,1.6084,0.711,141s,0.9219,0.6591,1.5374,0.5614,,163s,0.0264,0.9913,2.1372,0.6377,136s,1.6521,0.3384,1.9337,0.3294,140s,0.0662,0.98,2.351,0.5788,146s,0.027,0.9918,2.9978,0.5223,148s,0.0144,0.9948,2.2334,0.652
71,108s,0.6844,0.7403,1.3109,0.6392,113s,0.0515,0.9824,1.2613,0.797,106s,0.0555,0.9825,1.3402,0.7277,107s,0.0844,0.9744,1.5064,0.724,108s,0.0181,0.9937,2.3199,0.6077,111s,0.0139,0.9955,1.6007,0.7302,141s,0.9004,0.6612,1.4893,0.5571,,157s,0.0329,0.9886,1.939,0.6849,137s,1.6487,0.3313,2.3413,0.3263,139s,0.0607,0.981,3.0416,0.5701,146s,0.0425,0.9854,2.6526,0.5794,147s,0.022,0.9929,2.0442,0.6619
72,107s,0.6913,0.7399,1.3023,0.6429,113s,0.0119,0.9963,1.9949,0.7017,103s,0.0512,0.9826,1.3268,0.745,108s,0.0757,0.9772,2.1381,0.69,109s,0.0307,0.9894,1.9763,0.6683,109s,0.0345,0.9894,1.3634,0.7017,142s,0.9157,0.6603,1.4761,0.5602,,155s,0.0283,0.9914,1.8922,0.6656,138s,1.6428,0.3351,3.9436,0.3139,139s,0.0606,0.9811,2.7029,0.567,146s,0.0367,0.9869,2.6586,0.5664,145s,0.0186,0.9934,2.1958,0.6588
73,108s,0.6773,0.7407,1.4118,0.63,113s,0.0132,0.9957,1.6093,0.7599,104s,0.0571,0.9802,1.9814,0.6665,105s,0.0986,0.971,1.542,0.6999,108s,0.0366,0.9874,1.9532,0.6943,111s,0.0274,0.9907,1.3519,0.7642,142s,0.9057,0.6592,1.5569,0.5385,,155s,0.0294,0.9894,1.9446,0.6824,136s,1.6339,0.3426,1.8502,0.3393,140s,0.0689,0.979,2.6671,0.5986,147s,0.0259,0.9914,3.274,0.5217,145s,0.0215,0.9934,2.2217,0.6532
74,109s,0.6798,0.7429,1.3579,0.6343,113s,0.0164,0.9946,1.6278,0.7488,105s,0.0492,0.9826,1.1887,0.7475,105s,0.1085,0.9679,2.0135,0.6912,109s,0.0268,0.9913,2.0518,0.7104,109s,0.032,0.9904,1.5458,0.7191,143s,0.9023,0.6603,1.5535,0.5627,,157s,0.0167,0.9946,1.8871,0.7029,136s,1.6199,0.3438,1.72,0.3499,138s,0.0585,0.9828,3.0737,0.5837,147s,0.0276,0.9906,3.0821,0.5713,145s,0.0365,0.9893,2.2937,0.6197
75,106s,0.6765,0.744,1.3093,0.651,112s,0.0351,0.9889,1.5704,0.7178,105s,0.054,0.9791,1.7061,0.6788,105s,0.0911,0.9705,1.9768,0.7147,108s,0.0145,0.9946,1.7254,0.7438,110s,0.0857,0.9769,1.1803,0.7543,137s,0.9093,0.6603,1.4983,0.5664,,165s,0.0361,0.9878,1.9813,0.6663,136s,1.6101,0.3509,2.2353,0.3462,139s,0.0566,0.9823,2.8711,0.5887,146s,0.0322,0.9879,2.9649,0.5676,145s,0.033,0.9892,2.0547,0.6588
76,107s,0.6739,0.745,1.3116,0.6423,115s,0.0197,0.9924,1.684,0.7308,104s,0.0454,0.9847,1.4782,0.7153,108s,0.0924,0.9722,2.8545,0.6473,109s,0.034,0.9895,2.0699,0.6887,109s,0.0107,0.9968,1.2296,0.7655,138s,0.9269,0.6554,1.528,0.5658,,160s,0.0269,0.9911,1.8796,0.6886,136s,1.5897,0.3617,2.2128,0.3368,139s,0.0497,0.9843,2.547,0.5893,148s,0.0325,0.988,2.8139,0.5769,146s,0.0149,0.9958,2.3169,0.6594
77,108s,0.6678,0.7438,1.3434,0.633,113s,0.027,0.9914,1.6098,0.7389,106s,0.0347,0.987,1.2306,0.7679,106s,0.0852,0.9745,2.3127,0.6912,109s,0.033,0.9886,2.1263,0.6962,110s,0.0024,0.9993,1.5476,0.7667,137s,0.9064,0.6593,1.5752,0.5453,,159s,0.0174,0.9941,1.9178,0.6948,136s,1.5715,0.3745,1.7746,0.3542,140s,0.0447,0.9859,2.9742,0.5732,147s,0.0218,0.9929,3.3508,0.5775,146s,0.018,0.9944,2.5538,0.6396
78,107s,0.6886,0.7419,1.3413,0.6411,113s,0.0144,0.9944,1.8809,0.7382,104s,0.0614,0.9782,1.6333,0.6535,106s,0.0761,0.9768,1.7536,0.7351,109s,0.0157,0.9944,1.7864,0.7123,110s,0.0026,0.9993,1.6707,0.75,137s,0.9056,0.6585,1.5603,0.5633,,159s,0.0177,0.9936,2.1885,0.6551,136s,1.5391,0.3848,2.2099,0.3772,139s,0.0449,0.9871,2.5406,0.5689,146s,0.0175,0.9942,2.7323,0.5993,146s,0.0412,0.9881,1.7582,0.6483
79,107s,0.676,0.7459,1.398,0.638,114s,0.0182,0.9947,3.7881,0.5099,105s,0.0335,0.9891,1.5177,0.7092,106s,0.0817,0.9772,2.1157,0.6788,110s,0.0118,0.9965,2.7755,0.6553,110s,0.0291,0.9904,5.5617,0.474,138s,0.9109,0.6571,1.5157,0.5565,,159s,0.0427,0.9859,2.3405,0.6098,136s,1.5148,0.3923,1.579,0.3846,138s,0.055,0.983,3.2118,0.5775,150s,0.0347,0.9885,3.3562,0.5093,147s,0.0266,0.9917,2.2856,0.6551
80,105s,0.666,0.7476,1.3321,0.6374,113s,0.0266,0.9904,2.9155,0.6207,104s,0.0431,0.9867,1.5949,0.6819,107s,0.0856,0.9737,2.2636,0.685,108s,0.0601,0.9816,1.7079,0.729,112s,0.0435,0.9864,1.4041,0.7339,139s,0.9188,0.6612,1.5381,0.5546,,157s,0.0265,0.9913,2.0295,0.6737,137s,1.4873,0.4078,1.8099,0.3462,137s,0.0672,0.9806,2.7463,0.6048,150s,0.042,0.9849,2.7936,0.5819,145s,0.0125,0.9962,2.4963,0.6507
81,106s,0.6543,0.7494,1.3546,0.6337,113s,0.0164,0.9951,1.8901,0.7178,105s,0.0428,0.985,1.6522,0.7024,106s,0.0799,0.9747,1.8336,0.7395,109s,0.0116,0.9959,1.6807,0.7085,110s,0.0216,0.9935,1.3102,0.7649,144s,0.9059,0.6552,1.593,0.5323,,155s,0.0118,0.9963,1.9882,0.6917,136s,1.4664,0.4188,4.3682,0.3648,139s,0.0479,0.9854,2.5723,0.5937,148s,0.0233,0.9921,2.5708,0.5993,146s,0.0238,0.9921,2.4542,0.6309
82,107s,0.6769,0.743,1.3378,0.6386,113s,0.0201,0.9936,5.3114,0.5582,105s,0.0479,0.9836,1.378,0.737,104s,0.0796,0.9761,2.1173,0.7314,108s,0.008,0.9977,1.8735,0.716,110s,0.0359,0.9899,2.4085,0.6776,141s,0.9064,0.6601,1.6548,0.5329,,156s,0.0136,0.9948,2.0889,0.7016,137s,1.4351,0.4293,10.6033,0.3238,137s,0.0564,0.9835,2.7928,0.5949,148s,0.0155,0.9945,2.6213,0.6185,146s,0.0151,0.995,2.4142,0.6135
83,106s,0.6791,0.7432,1.3736,0.6306,113s,0.0332,0.9899,1.2376,0.7927,106s,0.0317,0.989,1.2499,0.742,104s,0.0868,0.9751,1.9236,0.7234,109s,0.0376,0.9887,2.0365,0.7036,109s,0.0235,0.9929,1.253,0.7642,144s,0.9176,0.6607,1.5307,0.5546,,155s,0.0544,0.9818,1.8276,0.6594,137s,1.4146,0.4373,2.1293,0.4119,140s,0.0547,0.9834,2.2004,0.5806,147s,0.0175,0.9945,2.7366,0.5986,147s,0.036,0.9883,2.1601,0.66
84,107s,0.6867,0.7451,1.4029,0.6386,113s,0.0122,0.9962,1.6716,0.742,105s,0.0381,0.9878,1.2593,0.7271,105s,0.0766,0.9786,1.7094,0.7296,110s,0.0205,0.9929,1.6952,0.7481,111s,0.0125,0.9958,1.5551,0.7432,148s,0.9197,0.6549,1.53,0.562,,155s,0.0222,0.9922,1.8014,0.6954,137s,1.3799,0.4488,1.9496,0.4032,139s,0.0428,0.9875,2.7138,0.5986,147s,0.0359,0.9881,3.5997,0.5565,146s,0.0131,0.9962,2.4897,0.6569
85,107s,0.6607,0.7485,1.4609,0.633,112s,0.0193,0.9931,11.3561,0.44,104s,0.0658,0.9799,1.5747,0.7048,103s,0.0889,0.9735,1.9152,0.7184,111s,0.0079,0.9977,2.3659,0.646,111s,0.0363,0.99,1.2349,0.7649,147s,0.9205,0.6611,1.5997,0.5571,,154s,0.0151,0.9951,2.0415,0.7035,137s,1.345,0.461,1.7456,0.3102,140s,0.0441,0.987,3.4687,0.59,146s,0.0234,0.9913,3.1717,0.5658,145s,0.0213,0.9934,2.8627,0.6371
86,110s,0.6739,0.744,1.3683,0.6454,112s,0.0173,0.9938,1.5393,0.7574,105s,0.1138,0.9672,1.2954,0.7593,104s,0.0722,0.9772,1.7722,0.7184,111s,0.0604,0.9826,1.569,0.7079,111s,0.0105,0.9969,1.6062,0.7469,147s,0.9058,0.6631,1.7519,0.5347,,155s,0.0182,0.9938,2.0455,0.6948,136s,1.3374,0.4659,1.7909,0.3449,140s,0.0513,0.9851,2.9794,0.5918,147s,0.028,0.9918,2.8531,0.5813,146s,0.0203,0.9931,2.4814,0.6414
87,107s,0.6833,0.7406,1.4247,0.6312,114s,0.0157,0.9943,2.6518,0.651,104s,0.0248,0.9917,1.3374,0.7618,105s,0.0697,0.9793,1.9466,0.7234,109s,0.0295,0.9888,1.8144,0.724,111s,0.0224,0.9932,1.573,0.729,145s,0.9123,0.6588,1.6305,0.5453,,154s,0.0333,0.9887,2.0863,0.6861,138s,1.3255,0.4683,6.7773,0.3846,140s,0.0611,0.983,2.3726,0.598,145s,0.022,0.9924,3.2016,0.5931,147s,0.0236,0.9926,2.2812,0.616
88,106s,0.6833,0.7388,1.3534,0.6361,114s,0.0576,0.9824,1.1905,0.7822,105s,0.0315,0.9884,1.1417,0.7729,106s,0.0725,0.9782,1.892,0.7222,110s,0.0355,0.99,1.5014,0.742,111s,0.0183,0.9947,1.4807,0.7358,146s,0.9137,0.6596,1.6423,0.5447,,154s,0.0206,0.9928,2.212,0.6942,138s,1.3058,0.4828,1.439,0.4454,139s,0.05,0.9863,2.4878,0.5707,147s,0.0349,0.988,3.349,0.5695,146s,0.0216,0.9931,1.9966,0.6731
