Epochs,data__preprocessed__densenet201-imagenet__time,data__preprocessed__densenet201-imagenet__train_loss,data__preprocessed__densenet201-imagenet__train_accuracy,data__preprocessed__densenet201-imagenet__val_loss,data__preprocessed__densenet201-imagenet__val_accuracy,data__preprocessed__densenet201__time,data__preprocessed__densenet201__train_loss,data__preprocessed__densenet201__train_accuracy,data__preprocessed__densenet201__val_loss,data__preprocessed__densenet201__val_accuracy,data__preprocessed__inception-v3__time,data__preprocessed__inception-v3__train_loss,data__preprocessed__inception-v3__train_accuracy,data__preprocessed__inception-v3__val_loss,data__preprocessed__inception-v3__val_accuracy,data__preprocessed__mario__time,data__preprocessed__mario__train_loss,data__preprocessed__mario__train_accuracy,data__preprocessed__mario__val_loss,data__preprocessed__mario__val_accuracy,data__preprocessed__resnet50__time,data__preprocessed__resnet50__train_loss,data__preprocessed__resnet50__train_accuracy,data__preprocessed__resnet50__val_loss,data__preprocessed__resnet50__val_accuracy,data__preprocessed__xception__time,data__preprocessed__xception__train_loss,data__preprocessed__xception__train_accuracy,data__preprocessed__xception__val_loss,data__preprocessed__xception__val_accuracy,data__raw__densenet201-imagenet__time,data__raw__densenet201-imagenet__train_loss,data__raw__densenet201-imagenet__train_accuracy,data__raw__densenet201-imagenet__val_loss,data__raw__densenet201-imagenet__val_accuracy,,data__raw__densenet201__time,data__raw__densenet201__train_loss,data__raw__densenet201__train_accuracy,data__raw__densenet201__val_loss,data__raw__densenet201__val_accuracy,data__raw__inception-v3__time,data__raw__inception-v3__train_loss,data__raw__inception-v3__train_accuracy,data__raw__inception-v3__val_loss,data__raw__inception-v3__val_accuracy,data__raw__mario__time,data__raw__mario__train_loss,data__raw__mario__train_accuracy,data__raw__mario__val_loss,data__raw__mario__val_accuracy,data__raw__resnet50__time,data__raw__resnet50__train_loss,data__raw__resnet50__train_accuracy,data__raw__resnet50__val_loss,data__raw__resnet50__val_accuracy,data__raw__xception__time,data__raw__xception__train_loss,data__raw__xception__train_accuracy,data__raw__xception__val_loss,data__raw__xception__val_accuracy
22,111s,0.7295,0.7224,1.1728,0.6343,115s,0.1182,0.9585,1.0941,0.7432,104s,0.9681,0.6363,1.1591,0.5705,105s,0.3572,0.8761,1.1419,0.6869,112s,0.1517,0.9457,4.2185,0.38,118s,0.0676,0.9774,2.6595,0.6423,139s,0.9379,0.6454,1.396,0.5478,,157s,0.1579,0.944,1.5828,0.6476,135s,1.7443,0.3149,2.3303,0.2916,141s,0.222,0.924,2.2396,0.5459,155s,0.1301,0.9544,2.6163,0.5391,149s,0.1146,0.9611,1.8894,0.6383
23,108s,0.7221,0.7241,1.1248,0.6535,117s,0.1173,0.9587,3.4364,0.4765,105s,0.9092,0.6593,0.9719,0.6343,106s,0.3581,0.8785,1.1145,0.7067,110s,0.3246,0.891,1.5391,0.5811,117s,0.0632,0.9784,1.5129,0.7438,139s,0.9385,0.647,1.51,0.5323,,158s,0.1324,0.9536,1.6563,0.6408,136s,1.8091,0.3045,23.9623,0.2357,141s,0.2066,0.9265,1.9828,0.5459,156s,0.1114,0.9622,2.5175,0.5068,150s,0.0796,0.9709,2.0703,0.6017
24,111s,0.7305,0.7251,1.2287,0.6355,117s,0.1039,0.9646,1.1051,0.7506,105s,0.845,0.6853,2.1264,0.4728,106s,0.3208,0.8901,1.1821,0.6652,111s,0.1701,0.9404,2.3774,0.5545,117s,0.0804,0.9714,1.2663,0.745,138s,0.9409,0.6524,1.391,0.5546,,157s,0.1157,0.9591,1.8008,0.6489,135s,1.8213,0.3041,5.4589,0.3071,144s,0.2103,0.9271,2.1067,0.544,153s,0.1438,0.9504,2.3915,0.5509,157s,0.0662,0.9763,1.933,0.6396
25,110s,0.722,0.7278,1.1592,0.6361,117s,0.0759,0.9721,4.6939,0.4691,105s,0.8386,0.6896,1.2406,0.5575,107s,0.2964,0.9011,1.0241,0.7191,110s,0.0949,0.9665,1.6155,0.6825,119s,0.0759,0.9726,1.1164,0.7519,141s,0.9374,0.6473,1.4089,0.5323,,158s,0.1081,0.9601,1.7246,0.6414,137s,1.8268,0.3068,2.8905,0.255,146s,0.2104,0.9308,1.917,0.5738,152s,0.1712,0.9429,1.8544,0.5993,150s,0.0639,0.9785,2.1129,0.5918
26,109s,0.7317,0.721,1.223,0.638,117s,0.0979,0.9645,1.9969,0.6423,104s,0.7911,0.7096,0.8602,0.6528,107s,0.2883,0.902,1.2665,0.6671,111s,0.0928,0.9668,13.2037,0.354,117s,0.0586,0.9795,1.4981,0.6974,141s,0.9389,0.6489,1.373,0.5732,,157s,0.1139,0.9597,1.6488,0.6408,137s,1.816,0.289,2.9066,0.2754,145s,0.1917,0.933,2.1457,0.5453,150s,0.0736,0.9756,2.2645,0.5713,151s,0.0575,0.9803,2.0901,0.6377
27,107s,0.7399,0.7191,1.1903,0.6355,116s,0.0798,0.9721,2.6112,0.5866,103s,0.9247,0.667,0.9855,0.6522,106s,0.2868,0.9042,1.4151,0.6448,109s,0.1418,0.953,3.8148,0.4394,118s,0.0465,0.9834,1.9822,0.5947,141s,0.932,0.6465,1.5204,0.5335,,157s,0.1029,0.9636,2.2836,0.6092,138s,1.7939,0.2896,2.418,0.3027,146s,0.1786,0.9395,2.1098,0.5589,150s,0.0574,0.9804,2.7443,0.5602,151s,0.0787,0.9731,2.3625,0.6011
28,109s,0.7186,0.7283,1.1842,0.6343,115s,0.0886,0.9698,2.6348,0.591,103s,0.7452,0.7262,0.8203,0.7024,108s,0.2473,0.916,1.4886,0.6584,110s,0.2863,0.9055,3.5814,0.4356,115s,0.0525,0.9812,1.538,0.7246,141s,0.9371,0.6454,1.5404,0.536,,157s,0.0764,0.9749,2.0343,0.634,138s,1.7892,0.2971,2.2675,0.281,142s,0.1666,0.9416,2.0925,0.5651,149s,0.1291,0.9557,2.6511,0.5186,152s,0.0714,0.9763,1.909,0.6557
29,108s,0.7068,0.7304,1.1888,0.6374,113s,0.138,0.9527,2.6536,0.6219,103s,0.6425,0.7625,1.143,0.6139,106s,0.2443,0.9191,1.2532,0.7054,110s,0.1395,0.9529,1.7534,0.6621,112s,0.0544,0.9819,1.9607,0.6838,141s,0.9426,0.6474,1.4347,0.5738,,157s,0.0906,0.9671,2.0419,0.6359,135s,1.7778,0.2975,1.7431,0.2742,144s,0.1891,0.9369,1.9751,0.5732,153s,0.0694,0.9766,2.3196,0.5689,152s,0.076,0.9759,10.1298,0.4187
30,108s,0.7267,0.7263,1.2214,0.617,114s,0.0543,0.9817,1.3238,0.7401,103s,0.5845,0.7839,0.9652,0.6689,106s,0.2461,0.9184,1.2987,0.685,110s,0.0427,0.9863,1.7964,0.6894,111s,0.0567,0.9805,1.3475,0.7407,141s,0.9261,0.6552,1.3732,0.5695,,157s,0.0771,0.9735,2.0049,0.6396,137s,1.7839,0.2953,2.7124,0.3077,144s,0.1744,0.9424,2.4699,0.5416,153s,0.1266,0.9572,2.7237,0.5186,150s,0.1412,0.9551,2.0564,0.5931
31,108s,0.699,0.7344,1.1426,0.6485,113s,0.0375,0.9877,1.5991,0.6925,103s,0.6366,0.7674,0.9078,0.6887,105s,0.2238,0.9282,1.3283,0.7178,109s,0.0987,0.9657,3.0151,0.547,113s,0.0536,0.9823,3.3256,0.6405,141s,0.9302,0.6526,1.3951,0.5633,,156s,0.0862,0.9701,2.1911,0.5968,136s,1.7606,0.3036,1.8391,0.3133,142s,0.1528,0.948,2.2016,0.5732,152s,0.0601,0.9807,2.3146,0.5757,149s,0.0495,0.9843,2.1285,0.6408
